sno,state,annual_recharge,extractable_resource,annual_extraction,stage_of_development,category
8,Botad,37198.25,2430.61,0,4106.37,Over Exploited
9,Chhota Udepur,42927.38,6798.3,0,13270.9,Over Exploited
10,Dahod,19357.58,7094.7,0,10779.64,Over Exploited
11,Dang,35324.46,1052.72,0,1371.28,Over Exploited
12,Devbhumi Dwarka,36703.39,2710.84,0,4583.51,Over Exploited
13,Gandhinagar,45828.31,7036.09,0,12091.49,Over Exploited
14,Gir Somnath,67566.29,2897.06,0,6487.72,Over Exploited
15,Jamnagar,123294.57,7240.74,0,12862.96,Over Exploited
16,Junagadh,145869.35,5057.56,0,9602.92,Over Exploited
17,Kachchh,63910.27,16039.5,0,20048.2,Over Exploited
18,Kheda,46026.64,13549.45,0,27545.8,Over Exploited
19,Mahesana,51321.75,10656.96,0,20129.45,Over Exploited
20,Mahisagar,17689.09,5282.86,0,11032.6,Over Exploited
21,Morbi,40445.58,9685.34,0,20718.18,Over Exploited
22,Narmada,28186.56,5002.8,0,8490.52,Over Exploited
23,Navsari,59194.36,5155.9,0,16001.48,Over Exploited
24,Panchmahal,20567.94,14228.45,0,22943.6,Over Exploited
25,Patan,23741.89,5937.11,0,9577.73,Over Exploited
26,Porbandar,19392.04,1195.65,0,2150.39,Over Exploited
27,Rajkot,135167.26,13902.7,0,23355.64,Over Exploited
28,Sabarkantha,57339.46,9136.6,0,18143.9,Over Exploited
29,Surat,97851.33,10136.59,0,38810.94,Over Exploited
30,Surendranagar,61888.49,7039.96,0,11871.69,Over Exploited
31,Tapi,56384.47,5100.18,0,17028.95,Over Exploited
32,Vadodara,64529.38,11979.5,0,32795.08,Over Exploited
33,Valsad,56360.68,5515.03,0,15025.98,Over Exploited
1,2,3,4,5,6,Safe
1,Ahmedabad,24716.2,7798.13,0,13286.9,Over Exploited
2,Amreli,132123.42,7121.78,0,10900.56,Over Exploited
3,Anand,32160.87,37639.44,0,48588.67,Over Exploited
4,Arvalli,81761.61,3492.59,0,7360.04,Over Exploited
5,Banaskantha,99386.1,15164.17,0,16738.96,Over Exploited
6,Bharuch,41682.99,8452.01,0,19261.9,Over Exploited
7,Bhavnagar,92561.12,7720.82,0,13545.1,Over Exploited
8,Botad,37198.25,2430.61,0,4106.37,Over Exploited
9,Chhota Udepur,42927.38,6798.3,0,13270.9,Over Exploited
10,Dahod,19357.58,7094.7,0,10779.64,Over Exploited
11,Dang,35324.46,1052.72,0,1371.28,Over Exploited
12,Devbhumi Dwarka,36703.39,2710.84,0,4583.51,Over Exploited
13,Gandhinagar,45828.31,7036.09,0,12091.49,Over Exploited
14,Gir Somnath,67566.29,2897.06,0,6487.72,Over Exploited
15,Jamnagar,123294.57,7240.74,0,12862.96,Over Exploited
16,Junagadh,145869.35,5057.56,0,9602.92,Over Exploited
17,Kachchh,63910.27,16039.5,0,20048.2,Over Exploited
18,Kheda,46026.64,13549.45,0,27545.8,Over Exploited
19,Mahesana,51321.75,10656.96,0,20129.45,Over Exploited
20,Mahisagar,17689.09,5282.86,0,11032.6,Over Exploited
21,Morbi,40445.58,9685.34,0,20718.18,Over Exploited
22,Narmada,28186.56,5002.8,0,8490.52,Over Exploited
23,Navsari,59194.36,5155.9,0,16001.48,Over Exploited
24,Panchmahal,20567.94,14228.45,0,22943.6,Over Exploited
25,Patan,23741.89,5937.11,0,9577.73,Over Exploited
26,Porbandar,19392.04,1195.65,0,2150.39,Over Exploited
27,Rajkot,135167.26,13902.7,0,23355.64,Over Exploited
28,Sabarkantha,57339.46,9136.6,0,18143.9,Over Exploited
29,Surat,97851.33,10136.59,0,38810.94,Over Exploited
30,Surendranagar,61888.49,7039.96,0,11871.69,Over Exploited
31,Tapi,56384.47,5100.18,0,17028.95,Over Exploited
32,Vadodara,64529.38,11979.5,0,32795.08,Over Exploited
33,Valsad,56360.68,5515.03,0,15025.98,Over Exploited
1,2,3,4,5,6,Safe
1,Ambala,23442.63,8196.61,5060.25,7063.24,Over Exploited
2,Bhiwani,16336.92,13726.56,1917.12,12232.77,Over Exploited
3,Charkhi Dadri,10197.24,5160.27,5128.86,4323.34,Over Exploited
4,Faridabad,5803.66,3278.17,1003.9,4269.93,Over Exploited
5,Fatehabad,11977.84,27872.28,2655.64,22278.51,Over Exploited
6,Gurgaon,9806.15,5125.95,3206.15,4349.35,Over Exploited
7,Hisar,22240.86,15237.18,3360.99,21018.33,Over Exploited
8,Jhajjar,13547.16,17546.44,2919.87,14046.45,Over Exploited
9,Jind,19302.46,31580.15,7590.42,27663.62,Over Exploited
10,Kaithal,16567.36,15674,2786.69,11974.34,Over Exploited
11,Karnal,29058.72,60764.43,3860.04,23925.01,Over Exploited
12,Kurukshetra,16243.26,12011.47,2636.87,10098.55,Over Exploited
13,Mahendragarh,8218.39,4220.93,2350.06,7611.54,Over Exploited
14,Mewat,6854.16,4386.47,2301.14,4841.5,Over Exploited
15,Palwal,9814.9,14838.72,1088.83,17513.18,Over Exploited
16,Panchkula,10580.17,1310.96,1650.97,1027.63,Over Exploited
17,Panipat,11118.38,29488.63,1784.34,9014.35,Over Exploited
18,Rewari,10097.56,5555.22,3485.23,9828.24,Over Exploited
19,Rohtak,10788.98,9906.05,3850.53,11028.14,Over Exploited
20,Sirsa,19799.69,19635.89,1280.52,21085.04,Over Exploited
21,Sonipat,23995.87,29684.73,2118.55,23347.25,Over Exploited
22,Yamuna Nagar,20624.75,16278.93,5197.82,17931.88,Over Exploited
1,2,3,4,5,6,Safe
1,Ambala,23442.63,8196.61,5060.25,7063.24,Over Exploited
2,Bhiwani,16336.92,13726.56,1917.12,12232.77,Over Exploited
3,Charkhi Dadri,10197.24,5160.27,5128.86,4323.34,Over Exploited
4,Faridabad,5803.66,3278.17,1003.9,4269.93,Over Exploited
5,Fatehabad,11977.84,27872.28,2655.64,22278.51,Over Exploited
6,Gurgaon,9806.15,5125.95,3206.15,4349.35,Over Exploited
7,Hisar,22240.86,15237.18,3360.99,21018.33,Over Exploited
8,Jhajjar,13547.16,17546.44,2919.87,14046.45,Over Exploited
9,Jind,19302.46,31580.15,7590.42,27663.62,Over Exploited
10,Kaithal,16567.36,15674,2786.69,11974.34,Over Exploited
11,Karnal,29058.72,60764.43,3860.04,23925.01,Over Exploited
12,Kurukshetra,16243.26,12011.47,2636.87,10098.55,Over Exploited
13,Mahendragarh,8218.39,4220.93,2350.06,7611.54,Over Exploited
14,Mewat,6854.16,4386.47,2301.14,4841.5,Over Exploited
15,Palwal,9814.9,14838.72,1088.83,17513.18,Over Exploited
16,Panchkula,10580.17,1310.96,1650.97,1027.63,Over Exploited
17,Panipat,11118.38,29488.63,1784.34,9014.35,Over Exploited
18,Rewari,10097.56,5555.22,3485.23,9828.24,Over Exploited
19,Rohtak,10788.98,9906.05,3850.53,11028.14,Over Exploited
20,Sirsa,19799.69,19635.89,1280.52,21085.04,Over Exploited
21,Sonipat,23995.87,29684.73,2118.55,23347.25,Over Exploited
22,Yamuna Nagar,20624.75,16278.93,5197.82,17931.88,Over Exploited
1,2,3,4,5,6,Safe
1,Bokaro,16452.33,1458.23,1993.99,1064.96,Over Exploited
2,Chatra,21383.47,2130.51,755.28,1956.66,Over Exploited
3,Deoghar,12962.21,1405.2,1331.1,1483.72,Over Exploited
4,Dhanbad,19101.71,3793.65,1409.48,3761.71,Over Exploited
5,Dumka,20690.54,2852.28,3265.87,1619.3,Over Exploited
6,East Singhbhum,22527.96,1469.56,2752.11,1350.14,Over Exploited
7,Garhwa,23951.07,2399.02,1295.9,2343.56,Over Exploited
8,Giridih,35467.44,3009.81,2204.78,2546.32,Over Exploited
9,Godda,18436.16,1757.05,1626.54,1032.54,Over Exploited
10,Gumla,30172.19,707.35,3499.41,998.65,Over Exploited
11,Hazaribagh,28297.63,2122.3,2209.45,2476.97,Over Exploited
12,Jamtara,6029.76,1368.34,829.68,947.7,Over Exploited
13,Khunti,11237.84,658.81,1075.88,738.68,Over Exploited
14,Koderma,5282.33,385.93,434.49,649.7,Over Exploited
15,Latehar,18767.64,2498.15,1493.79,1915.24,Over Exploited
16,Lohardaga,17367.93,505.26,1382.32,590.3,Over Exploited
17,Pakur,21805.05,1425.7,2685.38,908.5,Over Exploited
18,Palamau,23941.92,6359.2,1463.36,2515.88,Over Exploited
19,Ramgarh,8086.15,1240.98,779.56,1300.27,Over Exploited
20,Ranchi,31358.34,2637.21,3313.74,3301.72,Over Exploited
21,Sahebganj,24731.92,2920.8,2059.93,1390.49,Over Exploited
22,Saraikela Kharsawan,14767.01,791.54,2406.28,525.2,Over Exploited
23,Simdega,23326.88,569.18,737.13,626.96,Over Exploited
24,West Singhbhum,42143.1,1471.81,5800.96,979.78,Over Exploited
1,2,3,4,5,6,Safe
1,Bokaro,16452.33,1458.23,1993.99,1064.96,Over Exploited
2,Chatra,21383.47,2130.51,755.28,1956.66,Over Exploited
3,Deoghar,12962.21,1405.2,1331.1,1483.72,Over Exploited
4,Dhanbad,19101.71,3793.65,1409.48,3761.71,Over Exploited
5,Dumka,20690.54,2852.28,3265.87,1619.3,Over Exploited
6,East Singhbhum,22527.96,1469.56,2752.11,1350.14,Over Exploited
7,Garhwa,23951.07,2399.02,1295.9,2343.56,Over Exploited
8,Giridih,35467.44,3009.81,2204.78,2546.32,Over Exploited
9,Godda,18436.16,1757.05,1626.54,1032.54,Over Exploited
10,Gumla,30172.19,707.35,3499.41,998.65,Over Exploited
11,Hazaribagh,28297.63,2122.3,2209.45,2476.97,Over Exploited
12,Jamtara,6029.76,1368.34,829.68,947.7,Over Exploited
13,Khunti,11237.84,658.81,1075.88,738.68,Over Exploited
14,Koderma,5282.33,385.93,434.49,649.7,Over Exploited
15,Latehar,18767.64,2498.15,1493.79,1915.24,Over Exploited
16,Lohardaga,17367.93,505.26,1382.32,590.3,Over Exploited
17,Pakur,21805.05,1425.7,2685.38,908.5,Over Exploited
18,Palamau,23941.92,6359.2,1463.36,2515.88,Over Exploited
19,Ramgarh,8086.15,1240.98,779.56,1300.27,Over Exploited
20,Ranchi,31358.34,2637.21,3313.74,3301.72,Over Exploited
21,Sahebganj,24731.92,2920.8,2059.93,1390.49,Over Exploited
22,Saraikela Kharsawan,14767.01,791.54,2406.28,525.2,Over Exploited
23,Simdega,23326.88,569.18,737.13,626.96,Over Exploited
24,West Singhbhum,42143.1,1471.81,5800.96,979.78,Over Exploited
1,2,3,4,5,6,Safe
1,Bagalkot,19608.07,20756.06,2434.48,22548.55,Over Exploited
2,Ballari,13976.06,40102.72,2093.77,12687.42,Over Exploited
3,Belagavi,45536.96,24852.91,15202.13,34523.28,Over Exploited
4,Bengaluru (Rural),7929.28,1952.24,5447.43,2173.7,Over Exploited
5,Bengaluru (Urban),8379.36,7812.37,4802.41,10745.39,Over Exploited
6,Bidar,30727.9,3514.63,300.09,2944.01,Over Exploited
7,Chamarajanagara,18047.17,8257.72,5574.73,5684.58,Over Exploited
8,Chikkaballapura,18827.1,4789.3,3377.37,6963.24,Over Exploited
9,Chikkamagaluru,26644.38,22506.4,3410.81,15013.16,Over Exploited
10,Chitradurga,22000.91,6831.95,5056.35,5956.86,Over Exploited
11,Dakshina Kannada,54474.77,4993.38,10006.21,5412.25,Over Exploited
12,Davanagere,15011.51,28372.96,3087.02,15070.2,Over Exploited
13,Dharwad,15111.65,6838.6,3511.75,6930.34,Over Exploited
14,Gadag,12351.34,8797.56,4545.35,7500.83,Over Exploited
15,Hassan,29844.8,28319.51,2035.92,24879.87,Over Exploited
16,Haveri,17339.18,26795.41,6383.89,6725.46,Over Exploited
17,Kalburgi,56634.44,6045.19,1083.62,8119.18,Over Exploited
18,Kodagu,18984.93,3478.18,25.43,1804.05,Over Exploited
19,Kolara,16298.08,7390.64,4241.97,13277.73,Over Exploited
20,Koppal,16706.83,30470.21,2299.94,15685.24,Over Exploited
21,Mandya,19106.89,24542.37,2610.06,25789.29,Over Exploited
22,Mysuru,25676.15,26799.2,3400.87,12963.46,Over Exploited
23,Raichur,26044.07,36186.97,5207.45,11782.62,Over Exploited
24,Ramanagara,9322.1,16343.21,8300.45,14007.89,Over Exploited
25,Shivamogga,63554.9,28423.35,1290.71,17093.22,Over Exploited
26,Tumakuru,43579.98,15455.32,9353.24,16359.55,Over Exploited
27,Udupi,43394.11,2854.42,627.9,5001.29,Over Exploited
28,Uttara Kannada,80255.87,4511.51,1196.29,5552.73,Over Exploited
29,Vijayanagara,18447.04,9432.76,3886.16,8288.67,Over Exploited
30,Vijayapura,63817.81,22783.39,532.62,13215.85,Over Exploited
31,Yadgir,21848.96,21072.27,1812.89,14978.53,Over Exploited
1,2,3,4,5,6,Safe
1,Bagalkot,19608.07,20756.06,2434.48,22548.55,Over Exploited
2,Ballari,13976.06,40102.72,2093.77,12687.42,Over Exploited
3,Belagavi,45536.96,24852.91,15202.13,34523.28,Over Exploited
4,Bengaluru (Rural),7929.28,1952.24,5447.43,2173.7,Over Exploited
5,Bengaluru (Urban),8379.36,7812.37,4802.41,10745.39,Over Exploited
6,Bidar,30727.9,3514.63,300.09,2944.01,Over Exploited
7,Chamarajanagara,18047.17,8257.72,5574.73,5684.58,Over Exploited
8,Chikkaballapura,18827.1,4789.3,3377.37,6963.24,Over Exploited
9,Chikkamagaluru,26644.38,22506.4,3410.81,15013.16,Over Exploited
10,Chitradurga,22000.91,6831.95,5056.35,5956.86,Over Exploited
11,Dakshina Kannada,54474.77,4993.38,10006.21,5412.25,Over Exploited
12,Davanagere,15011.51,28372.96,3087.02,15070.2,Over Exploited
13,Dharwad,15111.65,6838.6,3511.75,6930.34,Over Exploited
14,Gadag,12351.34,8797.56,4545.35,7500.83,Over Exploited
15,Hassan,29844.8,28319.51,2035.92,24879.87,Over Exploited
16,Haveri,17339.18,26795.41,6383.89,6725.46,Over Exploited
17,Kalburgi,56634.44,6045.19,1083.62,8119.18,Over Exploited
18,Kodagu,18984.93,3478.18,25.43,1804.05,Over Exploited
19,Kolara,16298.08,7390.64,4241.97,13277.73,Over Exploited
20,Koppal,16706.83,30470.21,2299.94,15685.24,Over Exploited
21,Mandya,19106.89,24542.37,2610.06,25789.29,Over Exploited
22,Mysuru,25676.15,26799.2,3400.87,12963.46,Over Exploited
23,Raichur,26044.07,36186.97,5207.45,11782.62,Over Exploited
24,Ramanagara,9322.1,16343.21,8300.45,14007.89,Over Exploited
25,Shivamogga,63554.9,28423.35,1290.71,17093.22,Over Exploited
26,Tumakuru,43579.98,15455.32,9353.24,16359.55,Over Exploited
27,Udupi,43394.11,2854.42,627.9,5001.29,Over Exploited
28,Uttara Kannada,80255.87,4511.51,1196.29,5552.73,Over Exploited
29,Vijayanagara,18447.04,9432.76,3886.16,8288.67,Over Exploited
30,Vijayapura,63817.81,22783.39,532.62,13215.85,Over Exploited
31,Yadgir,21848.96,21072.27,1812.89,14978.53,Over Exploited
1,2,3,4,5,6,Safe
1,Alappuzha,28421.44,269.4,3336.99,6624.29,Over Exploited
2,Ernakulam,38013.43,887.6,6802.15,6614.99,Over Exploited
3,Idukki,18309.47,254.94,907.18,1799.7,Over Exploited
4,Kannur,38954.9,886.11,1489.06,3791.65,Over Exploited
5,Kasargod,28314.46,1369.38,1307.66,4236.1,Over Exploited
6,Kollam,26854.83,836.88,7056.17,2708.07,Over Exploited
7,Kottayam,30715.51,765.51,4619.14,5553.53,Over Exploited
8,Kozhikkode,31488.68,570.45,1316.31,1538.64,Over Exploited
9,Malappuram,39433.15,1124.34,4181.42,7954.32,Over Exploited
10,Palakkad,32001.81,3994.02,3920.21,24537.19,Over Exploited
11,Pathanamthitta,18204.33,495.57,5680.16,1919.88,Over Exploited
12,Thiruvananthapuram,19674.25,598.56,6292.27,2673.09,Over Exploited
13,Thrissur,46070.79,980.46,2248.65,14634.1,Over Exploited
14,Wayanad,22654.22,396.88,0,633.01,Over Exploited
1,2,3,4,5,6,Safe
1,Alappuzha,28421.44,269.4,3336.99,6624.29,Over Exploited
2,Ernakulam,38013.43,887.6,6802.15,6614.99,Over Exploited
3,Idukki,18309.47,254.94,907.18,1799.7,Over Exploited
4,Kannur,38954.9,886.11,1489.06,3791.65,Over Exploited
5,Kasargod,28314.46,1369.38,1307.66,4236.1,Over Exploited
6,Kollam,26854.83,836.88,7056.17,2708.07,Over Exploited
7,Kottayam,30715.51,765.51,4619.14,5553.53,Over Exploited
8,Kozhikkode,31488.68,570.45,1316.31,1538.64,Over Exploited
9,Malappuram,39433.15,1124.34,4181.42,7954.32,Over Exploited
10,Palakkad,32001.81,3994.02,3920.21,24537.19,Over Exploited
11,Pathanamthitta,18204.33,495.57,5680.16,1919.88,Over Exploited
12,Thiruvananthapuram,19674.25,598.56,6292.27,2673.09,Over Exploited
13,Thrissur,46070.79,980.46,2248.65,14634.1,Over Exploited
14,Wayanad,22654.22,396.88,0,633.01,Over Exploited
1,2,3,4,5,6,Safe
1,Agar Malwa,31648.46,2627.86,0,9353.38,Over Exploited
2,Alirajpur,20453.23,784.39,0,1926.44,Over Exploited
3,Anuppur,26932.88,232.32,2107.1,452.34,Over Exploited
4,Ashoknagar,27871.27,2407,257.6,8403.66,Over Exploited
5,Balaghat,69068.89,3963.98,224.2,3155.35,Over Exploited
6,Barwani,33297.1,3754.53,0,19336.64,Over Exploited
7,Betul,82429.62,4394.4,2418.12,16236.66,Over Exploited
8,Bhind,80465.23,1680.29,0,13790.27,Over Exploited
9,Bhopal,30498.59,2435.89,0,6595.32,Over Exploited
10,Burhanpur,24887.72,3115.99,264.63,7760.34,Over Exploited
11,Chhatarpur,65829.56,5108.42,53.68,17211.2,Over Exploited
12,Chhindwara,86603.75,4438.42,3230.32,13761.28,Over Exploited
13,Damoh,27965.93,2262.36,0,9381.76,Over Exploited
14,Datia,40896.65,1033.56,0,7642.21,Over Exploited
15,Dewas,67453.89,4917.14,0,15525.92,Over Exploited
16,Dhar,85677.03,6867.85,0,45567.34,Over Exploited
17,Dindori,31253.88,465.36,288.23,829.88,Over Exploited
18,Guna,68453.75,4872.89,0,16009.98,Over Exploited
19,Gwalior,53944.05,8162.28,390.68,18746.98,Over Exploited
20,Harda,28714.24,3029.24,0,15970.24,Over Exploited
21,Hoshangabad,137409.57,7666.46,0,41693.32,Over Exploited
22,Indore,39897.15,4569.59,0,12736.94,Over Exploited
23,Jabalpur,52926.5,2414.12,0,9055.73,Over Exploited
24,Jhabua,21185.45,1293.73,0,4762.32,Over Exploited
25,Katni,34740.97,1869.3,0,4903.76,Over Exploited
26,Khandwa,55498.63,4586.72,0,62733.87,Over Exploited
27,Khargone,57720.82,6286.61,0,37020.22,Over Exploited
28,Mandla,41715.23,1151.11,453.63,4325.77,Over Exploited
29,Mandsaur,46090.43,6104.12,0,17155.08,Over Exploited
30,Morena,51834.05,1566.2,0,17732.94,Over Exploited
1,2,3,4,5,6,Safe
1,Agar Malwa,31648.46,2627.86,0,9353.38,Over Exploited
2,Alirajpur,20453.23,784.39,0,1926.44,Over Exploited
3,Anuppur,26932.88,232.32,2107.1,452.34,Over Exploited
4,Ashoknagar,27871.27,2407,257.6,8403.66,Over Exploited
5,Balaghat,69068.89,3963.98,224.2,3155.35,Over Exploited
6,Barwani,33297.1,3754.53,0,19336.64,Over Exploited
7,Betul,82429.62,4394.4,2418.12,16236.66,Over Exploited
8,Bhind,80465.23,1680.29,0,13790.27,Over Exploited
9,Bhopal,30498.59,2435.89,0,6595.32,Over Exploited
10,Burhanpur,24887.72,3115.99,264.63,7760.34,Over Exploited
11,Chhatarpur,65829.56,5108.42,53.68,17211.2,Over Exploited
12,Chhindwara,86603.75,4438.42,3230.32,13761.28,Over Exploited
13,Damoh,27965.93,2262.36,0,9381.76,Over Exploited
14,Datia,40896.65,1033.56,0,7642.21,Over Exploited
15,Dewas,67453.89,4917.14,0,15525.92,Over Exploited
16,Dhar,85677.03,6867.85,0,45567.34,Over Exploited
17,Dindori,31253.88,465.36,288.23,829.88,Over Exploited
18,Guna,68453.75,4872.89,0,16009.98,Over Exploited
19,Gwalior,53944.05,8162.28,390.68,18746.98,Over Exploited
20,Harda,28714.24,3029.24,0,15970.24,Over Exploited
21,Hoshangabad,137409.57,7666.46,0,41693.32,Over Exploited
22,Indore,39897.15,4569.59,0,12736.94,Over Exploited
23,Jabalpur,52926.5,2414.12,0,9055.73,Over Exploited
24,Jhabua,21185.45,1293.73,0,4762.32,Over Exploited
25,Katni,34740.97,1869.3,0,4903.76,Over Exploited
26,Khandwa,55498.63,4586.72,0,62733.87,Over Exploited
27,Khargone,57720.82,6286.61,0,37020.22,Over Exploited
28,Mandla,41715.23,1151.11,453.63,4325.77,Over Exploited
29,Mandsaur,46090.43,6104.12,0,17155.08,Over Exploited
30,Morena,51834.05,1566.2,0,17732.94,Over Exploited
1,2,3,4,5,6,Safe
1,Ahmednagar,87414.55,13325.98,14398.48,45925.63,Over Exploited
2,Akola,28849.65,1680.41,207.45,8900.29,Over Exploited
3,Amravati,53494.29,4586.76,1228.13,24483.76,Over Exploited
4,Aurangabad,74759.02,7315.56,4859.62,31620.12,Over Exploited
5,Beed,80902.03,9247.40,6159.28,33981.21,Over Exploited
6,Bhandara,32318.64,45408.18,417.80,16188.83,Over Exploited
7,Buldhana,64860.26,5506.00,263.81,21040.92,Over Exploited
8,Chandrapur,98913.75,5144.22,1471.98,11836.22,Over Exploited
9,Dhule,45174.16,7207.86,0.00,20848.44,Over Exploited
10,Gadchiroli,92707.85,3786.79,0.00,10921.86,Over Exploited
11,Gondia,42680.49,6682.82,645.57,16414.08,Over Exploited
12,Hingoli,50143.82,2996.45,1354.99,48447.79,Over Exploited
13,Jalgaon,88722.94,8065.52,574.12,47455.32,Over Exploited
14,Jalna,58268.35,3561.74,115.46,22708.87,Over Exploited
15,Kolhapur,53349.10,10165.36,780.56,71694.67,Over Exploited
16,Latur,44853.57,8517.28,0.00,17506.84,Over Exploited
17,Mumbai,1365.05,104.70,0.00,85.67,Semi Critical
18,Mumbai Sub,6912.88,132.26,0.00,108.22,Over Exploited
19,Nagpur,65716.83,10566.59,2587.16,23996.35,Over Exploited
20,Nanded,103267.93,1038.14,3718.96,17584.00,Over Exploited
21,Nandurbar,39900.15,2868.92,0.00,9066.38,Over Exploited
22,Nashik,132367.26,15003.40,3856.42,49686.39,Over Exploited
23,Osmanabad,61044.75,8143.27,2583.65,17414.13,Over Exploited
24,Palghar,18331.86,365.52,0.00,3447.27,Over Exploited
25,Parbhani,58691.41,1844.79,602.32,26131.14,Over Exploited
26,Pune,94080.55,26016.44,1192.62,73760.12,Over Exploited
27,Raigad,32706.93,192.80,0.00,5192.29,Over Exploited
28,Ratnagiri,38638.43,177.21,18.49,2242.79,Over Exploited
29,Sangli,42106.88,21549.92,12389.03,65276.51,Over Exploited
30,Satara,52161.08,18770.96,3744.03,36917.34,Over Exploited
31,Sindhudurg,20891.02,196.26,3.83,2251.76,Over Exploited
32,Solapur,91839.46,11270.79,2954.03,40448.73,Over Exploited
33,Thane,14767.22,290.06,0.00,2232.87,Over Exploited
34,Wardha,57486.01,5453.24,1427.60,25090.54,Over Exploited
35,Washim,42509.28,5242.64,68.85,15402.51,Over Exploited
36,Yawatmal,97171.18,3119.83,5825.78,18784.37,Over Exploited
1,2,3,4,5,6,Safe
1,Ahmednagar,87414.55,13325.98,14398.48,45925.63,Over Exploited
2,Akola,28849.65,1680.41,207.45,8900.29,Over Exploited
3,Amravati,53494.29,4586.76,1228.13,24483.76,Over Exploited
4,Aurangabad,74759.02,7315.56,4859.62,31620.12,Over Exploited
5,Beed,80902.03,9247.40,6159.28,33981.21,Over Exploited
6,Bhandara,32318.64,45408.18,417.80,16188.83,Over Exploited
7,Buldhana,64860.26,5506.00,263.81,21040.92,Over Exploited
8,Chandrapur,98913.75,5144.22,1471.98,11836.22,Over Exploited
9,Dhule,45174.16,7207.86,0.00,20848.44,Over Exploited
10,Gadchiroli,92707.85,3786.79,0.00,10921.86,Over Exploited
11,Gondia,42680.49,6682.82,645.57,16414.08,Over Exploited
12,Hingoli,50143.82,2996.45,1354.99,48447.79,Over Exploited
13,Jalgaon,88722.94,8065.52,574.12,47455.32,Over Exploited
14,Jalna,58268.35,3561.74,115.46,22708.87,Over Exploited
15,Kolhapur,53349.10,10165.36,780.56,71694.67,Over Exploited
16,Latur,44853.57,8517.28,0.00,17506.84,Over Exploited
17,Mumbai,1365.05,104.70,0.00,85.67,Semi Critical
18,Mumbai Sub,6912.88,132.26,0.00,108.22,Over Exploited
19,Nagpur,65716.83,10566.59,2587.16,23996.35,Over Exploited
20,Nanded,103267.93,1038.14,3718.96,17584.00,Over Exploited
21,Nandurbar,39900.15,2868.92,0.00,9066.38,Over Exploited
22,Nashik,132367.26,15003.40,3856.42,49686.39,Over Exploited
23,Osmanabad,61044.75,8143.27,2583.65,17414.13,Over Exploited
24,Palghar,18331.86,365.52,0.00,3447.27,Over Exploited
25,Parbhani,58691.41,1844.79,602.32,26131.14,Over Exploited
26,Pune,94080.55,26016.44,1192.62,73760.12,Over Exploited
27,Raigad,32706.93,192.80,0.00,5192.29,Over Exploited
28,Ratnagiri,38638.43,177.21,18.49,2242.79,Over Exploited
29,Sangli,42106.88,21549.92,12389.03,65276.51,Over Exploited
30,Satara,52161.08,18770.96,3744.03,36917.34,Over Exploited
31,Sindhudurg,20891.02,196.26,3.83,2251.76,Over Exploited
32,Solapur,91839.46,11270.79,2954.03,40448.73,Over Exploited
33,Thane,14767.22,290.06,0.00,2232.87,Over Exploited
34,Wardha,57486.01,5453.24,1427.60,25090.54,Over Exploited
35,Washim,42509.28,5242.64,68.85,15402.51,Over Exploited
36,Yawatmal,97171.18,3119.83,5825.78,18784.37,Over Exploited
1,2,3,4,5,6,Safe
1,Bishnupur,9572.6,0.06,2257.53,83.68,Semi Critical
2,Churachandpur,6707.1,0,1510.99,69,Safe
3,Imphal East,11895.89,63.52,2713.54,275.39,Over Exploited
4,Imphal West,6297.13,0.01,2327.91,74.33,Semi Critical
5,Thoubal,5799.77,0.02,2075.4,62.28,Safe
1,2,3,4,5,6,Safe
1,East Garo Hills,6386.29,575.45,1795.66,669.9,Over Exploited
2,East Jaintia Hills,12480.85,91.43,4292.83,88.93,Semi Critical
3,East Khasi Hills,16813.38,468.19,4950.22,462.2,Over Exploited
4,North Garo Hills,6013.23,2061.23,1325,568.96,Over Exploited
5,Ri Bhoi,5042.91,112.64,1330.29,94.3,Critical
6,South Garo Hills,16789.14,64.61,6616,59.76,Safe
7,South West Garo Hills,5855.53,160.5,1857.49,218.78,Over Exploited
8,South West Khasi Hills,11468.86,202.88,2625.09,61.02,Safe
9,West Garo Hills,23701.2,398.92,6532.95,674.04,Over Exploited
10,West Jaintia Hills,7879.86,108.19,3194.72,74.7,Semi Critical
11,West Khasi Hills,22567.36,1316.88,7018.54,803.08,Over Exploited
1,2,3,4,5,6,Safe
1,East Garo Hills,6386.29,575.45,1795.66,669.9,Over Exploited
2,East Jaintia Hills,12480.85,91.43,4292.83,88.93,Semi Critical
3,East Khasi Hills,16813.38,468.19,4950.22,462.2,Over Exploited
4,North Garo Hills,6013.23,2061.23,1325,568.96,Over Exploited
5,Ri Bhoi,5042.91,112.64,1330.29,94.3,Critical
6,South Garo Hills,16789.14,64.61,6616,59.76,Safe
7,South West Garo Hills,5855.53,160.5,1857.49,218.78,Over Exploited
8,South West Khasi Hills,11468.86,202.88,2625.09,61.02,Safe
9,West Garo Hills,23701.2,398.92,6532.95,674.04,Over Exploited
10,West Jaintia Hills,7879.86,108.19,3194.72,74.7,Semi Critical
11,West Khasi Hills,22567.36,1316.88,7018.54,803.08,Over Exploited
1,2,3,4,5,6,Safe
1,Dimapur,19261.31,1409.54,2358.73,192.64,Over Exploited
2,Kiphire,127.82,327.36,56.57,0.27,Safe
3,Kohima,2073.08,1838.23,340.8,101.54,Over Exploited
