sno,state,annual_recharge,extractable_resource,annual_extraction,stage_of_development,category
6,Goa,0.35,0.01,0.00,0.03,Safe
7,Gujarat,19.58,2.79,0.00,5.21,Safe
8,Haryana,3.26,3.51,0.67,2.86,Safe
9,Himachal Pradesh,0.61,0.18,0.13,0.20,Safe
10,Jharkhand,4.98,0.46,0.47,0.37,Safe
11,Karnataka,8.79,5.01,1.23,3.70,Safe
12,Kerala,4.19,0.13,0.49,0.85,Safe
13,Madhya Pradesh,27.00,1.68,0.17,7.04,Safe
14,Maharashtra,20.69,2.76,0.73,8.85,Safe
15,Manipur,0.4,0.001,0.11,0.006,Safe
16,Meghalaya,1.35,0.06,0.42,0.04,Safe
17,Mizoram,0.18,0.00,0.03,0.00,Safe
18,Nagaland,0.41,0.12,0.08,0.01,Safe
19,Odisha,10.18,2.94,1.51,2.84,Safe
20,Punjab,4.79,9.01,0.72,4.37,Safe
21,Rajasthan,9.08,0.65,0.22,2.62,Safe
22,Sikkim,0.18,0.00,0.06,0.00,Safe
23,Tamil Nadu,7.42,10.18,1.20,2.71,Safe
24,Telangana,6.88,6.63,0.94,5.96,Safe
25,Tripura,1.03,0.16,0.20,0.07,Safe
26,Uttar Pradesh,36.43,14.12,0.81,21.47,Safe
27,Uttarakhand,1.53,0.21,0.14,0.26,Safe
28,West Bengal,16.65,1.71,3.40,4.13,Safe
30,Chandigarh,0.01,0.01,0.00,0.03,Safe
31,Haveli and Daman,0.09,0.01,0.00,0.02,Safe
32,Delhi,0.12,0.09,0.00,0.17,Safe
33,Jammu And Kashmir,1.19,0.35,0.85,0.15,Safe
34,Ladakh,0.00,0.05,0.01,0.00,Safe
35,Lakshadweep,0.01,0.00,0.00,0.00,Safe
36,Puducherry,0.05,0.09,0.01,0.03,Safe
1,2,3,4,5,6,Safe
1,Alluri Sitharama Raju,43956.31,102516.48,2860.84,8890.60,Over Exploited
2,Anakapalli,22443.69,38195.76,14423.44,6889.74,Over Exploited
3,Ananthapuramu,40986.63,44150.14,1323.64,35512.65,Over Exploited
4,Annamayya,44599.19,19166.03,2836.15,19968.94,Over Exploited
5,Bapatla,23318.20,33572.17,1322.80,12065.45,Over Exploited
6,Chittoor,55198.12,15130.71,1246.99,18849.65,Over Exploited
7,East Godavari,25369.55,41713.88,2604.84,37601.73,Over Exploited
8,Eluru,50680.82,88891.13,1620.74,41619.91,Over Exploited
9,Guntur,12414.87,26259.86,2064.53,13762.42,Over Exploited
10,Kakinada,16664.61,59653.79,3486.88,32788.46,Over Exploited
11,Konaseema,15932.71,48720.13,2077.68,45519.00,Over Exploited
12,Krishna,18162.93,90343.85,10846.76,47391.01,Over Exploited
13,Kurnool,38342.94,17638.70,566.17,10907.07,Over Exploited
14,Ntr,20780.78,28090.65,1227.81,14159.92,Over Exploited
15,Nandyal,22651.71,40388.65,66.02,19114.07,Over Exploited
16,Palnadu,25660.06,55379.59,1215.19,19221.55,Over Exploited
