state,district,annual_recharge,extractable_resource,annual_extraction,stage_of_development,category,extraction_ratio,utilization_rate,stress_level,risk_score,year
Himachal Pradesh,Himachal Pradesh,0.61,0.18,0.13,0.2,Safe,0.21311475409836067,0.7222222222222223,0.002,0.3745347905282332,2024
Madhya Pradesh,Madhya Pradesh,27.0,1.68,0.17,7.04,Safe,0.006296296296296296,0.1011904761904762,0.0704,0.057074708994709004,2024
Andhra Pradesh,Alluri Sitharama Raju,43956.31,102516.48,2860.84,8890.6,Over Exploited,0.06508371608080843,0.027906147382352576,88.906,17.818395945385266,2024
Andhra Pradesh,Anakapalli,22443.69,38195.76,14423.44,6889.74,Over Exploited,0.6426501168034312,0.3776188770690778,68.8974,14.187587597549005,2024
Andhra Pradesh,Ananthapuramu,40986.63,44150.14,1323.64,35512.65,Over Exploited,0.03229443357504631,0.029980425883134234,355.1265,71.05020994378327,2024
Andhra Pradesh,Annamayya,44599.19,19166.03,2836.15,19968.94,Over Exploited,0.0635919620961726,0.14797795892002674,199.68939999999998,40.02250796840648,2024
Andhra Pradesh,Bapatla,23318.2,33572.17,1322.8,12065.45,Over Exploited,0.05672822087468157,0.03940168300112861,120.65450000000001,24.16935196155033,2024
Andhra Pradesh,Chittoor,55198.12,15130.71,1246.99,18849.65,Over Exploited,0.022591167960068204,0.08241450665566917,188.49650000000003,37.7413022698463,2024
Andhra Pradesh,East Godavari,25369.55,41713.88,2604.84,37601.73,Over Exploited,0.10267584564960751,0.062445401866237336,376.01730000000003,75.26950849900635,2024
Andhra Pradesh,Eluru,50680.82,88891.13,1620.74,41619.91,Over Exploited,0.03197935629297237,0.018232865303883523,416.19910000000004,83.25990488863876,2024
Andhra Pradesh,Guntur,12414.87,26259.86,2064.53,13762.42,Over Exploited,0.16629493502549766,0.07861923102408011,137.6242,27.622805666419833,2024
Andhra Pradesh,Kakinada,16664.61,59653.79,3486.88,32788.46,Over Exploited,0.20923862004571364,0.058451944126265906,327.8846,65.68399622566879,2024
Andhra Pradesh,Konaseema,15932.71,48720.13,2077.68,45519.0,Over Exploited,0.13040342791653145,0.04264520640646895,455.19,91.10721945372921,2024
Andhra Pradesh,Krishna,18162.93,90343.85,10846.76,47391.01,Over Exploited,0.5971921931098121,0.12006085638369407,473.9101,95.0689212197974,2024
Andhra Pradesh,Kurnool,38342.94,17638.7,566.17,10907.07,Over Exploited,0.014765951698017938,0.03209817050009354,109.0707,21.832885648879248,2024
Andhra Pradesh,Ntr,20780.78,28090.65,1227.81,14159.92,Over Exploited,0.059083922740147385,0.043708849741818004,141.5992,28.360957108992785,2024
Andhra Pradesh,Nandyal,22651.71,40388.65,66.02,19114.07,Over Exploited,0.002914570246572996,0.0016346176462941938,191.1407,38.22995967515715,2024
Andhra Pradesh,Palnadu,25660.06,55379.59,1215.19,19221.55,Over Exploited,0.04735725481546029,0.021942921570925318,192.2155,38.47082007055455,2024
Andhra Pradesh,Prakasam,63974.15,19744.85,1072.98,13544.2,Over Exploited,0.016772086850704544,0.05434227152903163,135.442,27.1168457433519,2024
Andhra Pradesh,Sri Potti Sriramulu Nellore,68345.39,36991.28,20510.69,71127.23,Over Exploited,0.3001034890575648,0.5544736489248276,711.2723,142.59629085519296,2024
Andhra Pradesh,Sri Sathya Sai,43077.78,31974.68,595.26,44246.68,Over Exploited,0.013818260829597069,0.01861660538901406,442.4668,88.50633394648744,2024
Andhra Pradesh,Srikakulam,34587.38,66648.48,2623.08,28333.77,Over Exploited,0.07583922228280951,0.03935693657229693,283.3377,56.71361846354205,2024
Andhra Pradesh,Tirupati,81366.63,27763.1,87.94,52318.38,Over Exploited,0.0010807870499245206,0.003167513714246608,523.1838,104.63845932030567,2024
Andhra Pradesh,Visakhapatnam,7995.13,3262.26,285.34,1078.97,Over Exploited,0.03568922581621562,0.08746697075033871,10.7897,2.2072024786266216,2024
Andhra Pradesh,Vizianagaram,24997.08,66545.39,2538.33,48662.74,Over Exploited,0.10154506046306208,0.0381443402766142,486.62739999999997,97.38135576029588,2024
Andhra Pradesh,West Godavari,12011.91,21549.41,235.36,22132.19,Over Exploited,0.019593886401080264,0.010921876747437633,221.3219,44.27658630525941,2024
Andhra Pradesh,Y.S.R Kadapa,57104.54,20117.22,549.87,29473.8,Over Exploited,0.0096291818478881,0.02733329953144619,294.738,58.96238499255173,2024
Andhra Pradesh,Alluri Sitharama Raju,43956.31,102516.48,2860.84,8890.6,Over Exploited,0.06508371608080843,0.027906147382352576,88.906,17.818395945385266,2024
Andhra Pradesh,Anakapalli,22443.69,38195.76,14423.44,6889.74,Over Exploited,0.6426501168034312,0.3776188770690778,68.8974,14.187587597549005,2024
Andhra Pradesh,Ananthapuramu,40986.63,44150.14,1323.64,35512.65,Over Exploited,0.03229443357504631,0.029980425883134234,355.1265,71.05020994378327,2024
Andhra Pradesh,Annamayya,44599.19,19166.03,2836.15,19968.94,Over Exploited,0.0635919620961726,0.14797795892002674,199.68939999999998,40.02250796840648,2024
Andhra Pradesh,Bapatla,23318.2,33572.17,1322.8,12065.45,Over Exploited,0.05672822087468157,0.03940168300112861,120.65450000000001,24.16935196155033,2024
